,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,9,mois,month
10,10,frère,brother
11,11,laisser,let
12,12,car,because
13,13,mettre,to put
14,14,aucun,no
15,15,laisse,leash
16,17,ville,city
17,18,chaque,each
18,19,arrivé,come
19,20,devrait,should
20,21,bébé,baby
21,22,longtemps,long time
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,26,aucune,any
26,27,place,square
27,28,parle,speak
28,29,compris,understood
29,30,savais,knew
30,31,étaient,were
31,32,attention,Warning
32,33,voici,here is
33,34,pourrais,could
34,35,affaire,case
35,36,donner,give
36,37,type,type
37,38,leurs,their
38,39,donné,given
39,40,train,train
40,41,corps,body
41,42,endroit,place
42,43,yeux,eyes
43,44,façon,way
44,45,écoute,listen
45,46,dont,whose
46,47,trouve,find
47,48,premier,first
48,49,perdu,lost
49,50,main,hand
50,51,première,first
51,52,côté,side
52,53,pouvoir,power
53,54,vieux,old
54,55,sois,be
55,56,tiens,here
56,57,matin,morning
57,58,tellement,so much
58,59,point,point
59,60,venu,came
60,61,suite,after
61,62,pardon,sorry
62,63,venez,come
63,64,devant,in front of
64,65,vers,towards
65,66,minutes,minutes
66,67,demandé,request
67,68,chambre,bedroom
68,69,mis,placed
69,70,belle,beautiful
70,71,droit,law
71,72,aujourd'hui,today
72,73,mari,husband
73,74,cause,cause
74,75,enfin,finally
75,76,espère,hope
76,77,eau,water
77,78,attendez,Wait
78,79,parti,left
79,80,nouvelle,new
80,81,boulot,job
81,82,arrêter,Stop
82,83,dirait,would say
83,84,terre,Earth
84,85,compte,account
85,86,donne,given
86,87,loin,far
87,88,fin,end
88,89,croire,believe
89,90,chérie,sweetheart
90,91,gros,large
91,92,plutôt,rather
92,93,aura,will have
93,94,filles,girls
94,95,jouer,to play
95,96,bureau,office
